Samples	axisX	axisY	axisZ	DB	Tissue
GSM2081481	6.9596567	8.56951	6.842996	GEO	Brain
GSM2081482	6.223828	5.8254876	6.530455	GEO	Brain
GSM2081483	6.6938553	7.6889453	6.869948	GEO	Brain
GSM2081484	6.905711	7.5693336	6.792363	GEO	Brain
GSM2081485	6.841946	10.299698	7.074782	GEO	Brain
GSM2081486	6.731537	7.3079057	6.914914	GEO	Brain
GSM2081487	6.691811	6.9384108	6.778859	GEO	Brain
GSM2081488	6.668685	10.365528	7.080035	GEO	Brain
GSM2081489	6.5549912	6.8615346	6.768312	GEO	Brain
GSM2081490	6.9222045	9.215369	7.230429	GEO	Brain
GSM2081491	6.7523775	7.1134677	6.7291627	GEO	Brain
GSM2081492	7.020796	8.441122	6.9622264	GEO	Brain
GSM2081493	6.8404684	5.9790654	6.4247794	GEO	Brain
GSM2081494	6.6026506	6.7941113	6.7735724	GEO	Brain
GSM2081495	6.789852	6.127352	6.4838557	GEO	Brain
GSM2081496	7.001617	8.684899	6.8507133	GEO	Brain
GSM2081497	6.498961	6.583298	6.715853	GEO	Brain
GSM2081498	7.0022755	9.167599	6.958612	GEO	Brain
GSM2081499	6.3566422	5.0556583	5.0914836	GEO	Brain
GSM2081500	6.7453513	10.228622	7.0874376	GEO	Brain
GSM2081501	6.8516736	9.12758	7.212412	GEO	Brain
GSM2081502	6.567952	10.590411	7.180617	GEO	Brain
GSM2081503	6.577886	10.564947	7.1770153	GEO	Brain
GSM2081504	3.7892494	4.798775	-4.8697543	GEO	Brain
GSM2113298	0.3038588	3.185801	2.974318	GEO	Lung
GSM2113302	0.15483609	4.992108	7.7375226	GEO	Lung
GSM2113303	-0.101476334	2.8635185	2.5165508	GEO	Lung
GSM2113304	10.46887	0.24076179	5.062356	GEO	Lung
GSM2113305	-0.07364772	3.288317	2.8863788	GEO	Liver
GSM2113307	6.8809347	7.4841228	6.9190736	GEO	Uterus
GSM2113309	10.315205	0.36783332	5.0484104	GEO	Kidney
GSM2113310	0.3020007	3.2631059	3.0523877	GEO	Liver
GSM2113311	2.5084362	7.23621	1.5623735	GEO	Lung
GSM2113312	8.260445	8.936737	-2.3922493	GEO	Lung
GSM2114345	11.896485	2.4040143	1.2799572	GEO	Blood
